property_title,property_name,property_region,price_ttl,price_sqm,houseinfo,followinfo,near_subway,two_year,taxfree,haskey,vr,create_date
汉口湖畔不临马路，东南朝向，中间楼层,汉口湖畔,盘龙城,65,"7,514元/平",2室2厅 | 86.51平米 | 南 | 毛坯 | 中楼层(共25层) | 板楼,4人关注 / 一年前发布,近地铁,NA,房本满五年,随时看房,NA,2024-01-31
双地跌口顶楼复式得房率高 采光充足交通便利配套成熟,同鑫花园,后湖,160,"14,957元/平",5室2厅 | 106.98平米 | 南 北 | 精装 | 高楼层(共6层) | 板楼,8人关注 / 2个月以前发布,近地铁,NA,房本满五年,随时看房,NA,2024-01-31
店长推荐 正地铁口 满二精装修 高层 价格实惠,东原启城一期,白沙洲,139,"14,305元/平",3室1厅 | 97.17平米 | 南 | 精装 | 中楼层(共32层) | 塔楼,4人关注 / 2个月以前发布,近地铁,房本满两年,NA,随时看房,NA,2024-01-31
户型方正，大四房，中间楼层，采光良好 环境优美,新华联青年城,纸坊,130,"9,249元/平",4室2厅 | 140.57平米 | 南 | 毛坯 | 中楼层(共18层) | 板塔结合,2人关注 / 2个月以前发布,NA,房本满两年,NA,随时看房,NA,2024-01-31
【贝壳资金安全】少有好采光院子三房，通透户型,幸福人家北苑,后湖,148,"11,937元/平",3室2厅 | 123.99平米 | 南 北 | 精装 | 低楼层(共6层) | 板楼,15人关注 / 2个月以前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
佰港城边上精装三房，好楼层，拎包入住,南湖名都A区,南湖沃尔玛,229,"18,078元/平",3室1厅 | 126.68平米 | 南 北 | 精装 | 中楼层(共17层) | 塔楼,14人关注 / 2个月以前发布,近地铁,房本满两年,NA,随时看房,NA,2024-01-31
东湖边的洋房 一梯两户 低公摊 满两年 8号线地铁,东湖林语,东湖东亭,346,"26,806元/平",3室2厅 | 129.08平米 | 南 北 | 精装 | 低楼层(共6层) | 板楼,45人关注 / 一年前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
白沙洲鄂旅投书院世家高层精装修3房通透户型满二急售,鄂旅投书院世家,白沙洲,108,"10,462元/平",3室2厅 | 103.24平米 | 南 北 | 精装 | 高楼层(共34层) | 板楼,1人关注 / 2个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
地铁口 东方花都A区 电梯三房 精装修 育才行知旁,新地东方花都A区,后湖,177,"13,277元/平",3室2厅 | 133.32平米 | 东南 | 精装 | 中楼层(共11层) | 塔楼,8人关注 / 2个月以前发布,NA,房本满两年,NA,随时看房,VR看装修,2024-01-31
阳光佳苑 楼栋位置佳 118.83平 88万带车位 高层采光好,阳光佳苑,庙山,88,"7,406元/平",3室2厅 | 118.83平米 | 南 | 毛坯 | 高楼层(共33层) | 板楼,1人关注 / 2个月以前发布,NA,房本满两年,NA,随时看房,NA,2024-01-31
大悦城豹子西公园旁，开发商精装修三房，满两年,绿地光谷中心城,光谷东,209,"19,837元/平",3室2厅 | 105.36平米 | 南 | 精装 | 中楼层(共44层) | 板楼,10人关注 / 2个月以前发布,近地铁,房本满两年,NA,随时看房,NA,2024-01-31
沃尔玛边上小三房，朝南户型，楼层好，拎包入住,宝安璞园二期,南湖沃尔玛,142,"16,998元/平",3室1厅 | 83.54平米 | 南 北 | 精装 | 中楼层(共24层) | 塔楼,9人关注 / 2个月以前发布,NA,NA,房本满五年,随时看房,NA,2024-01-31
碧桂园凤凰湾 精装三房好楼层 视野开阔,碧桂园凤凰湾,汉南其它,55,"5,323元/平",3室2厅 | 103.34平米 | 南 | 精装 | 高楼层(共27层) | 板楼,0人关注 / 2个月以前发布,近地铁,房本满两年,NA,随时看房,NA,2024-01-31
长江委小区，正规大三房 中间楼层闹中取静，适合居住,长江委协昌里小区,育才花桥,135,"13,277元/平",3室1厅 | 101.68平米 | 西南 | 精装 | 高楼层(共20层) | 塔楼,1人关注 / 2个月以前发布,近地铁,房本满两年,NA,随时看房,NA,2024-01-31
武汉东站 天成美景 高楼层 满二 采光视野好 诚心卖,统建天成美景,光谷东,131,"15,034元/平",2室2厅 | 87.14平米 | 南 | 简装 | 高楼层(共33层) | 板楼,6人关注 / 2个月以前发布,近地铁,NA,房本满五年,随时看房,VR看装修,2024-01-31
