property_title,property_name,property_region,price_ttl,price_sqm,bedrooms,livingrooms,building_area,directions1,directions2,decoration,hml,building_height,building_year,building_style,followers,pub_days,near_subway,two_year,taxfree,haskey,vr,price_date,building_age
汉口湖畔不临马路，东南朝向，中间楼层,汉口湖畔,盘龙城,65,7514,2,2,86.51,南,,毛坯,中,25,NA,板楼,4,NA,1,0,1,1,NA,2024-01-31,NA
双地跌口顶楼复式得房率高 采光充足交通便利配套成熟,同鑫花园,后湖,160,14957,5,2,106.98,南,北,精装,高,6,NA,板楼,8,2个月,1,0,1,1,NA,2024-01-31,NA
店长推荐 正地铁口 满二精装修 高层 价格实惠,东原启城一期,白沙洲,139,14305,3,1,97.17,南,,精装,中,32,NA,塔楼,4,2个月,1,1,0,1,NA,2024-01-31,NA
户型方正，大四房，中间楼层，采光良好 环境优美,新华联青年城,纸坊,130,9249,4,2,140.57,南,,毛坯,中,18,NA,板塔结合,2,2个月,0,1,0,1,NA,2024-01-31,NA
【贝壳资金安全】少有好采光院子三房，通透户型,幸福人家北苑,后湖,148,11937,3,2,123.99,南,北,精装,低,6,NA,板楼,15,2个月,1,0,1,1,VR看装修,2024-01-31,NA
佰港城边上精装三房，好楼层，拎包入住,南湖名都A区,南湖沃尔玛,229,18078,3,1,126.68,南,北,精装,中,17,NA,塔楼,14,2个月,1,1,0,1,NA,2024-01-31,NA
东湖边的洋房 一梯两户 低公摊 满两年 8号线地铁,东湖林语,东湖东亭,346,26806,3,2,129.08,南,北,精装,低,6,NA,板楼,45,NA,1,0,1,1,VR看装修,2024-01-31,NA
白沙洲鄂旅投书院世家高层精装修3房通透户型满二急售,鄂旅投书院世家,白沙洲,108,10462,3,2,103.24,南,北,精装,高,34,NA,板楼,1,2个月,0,1,0,1,VR看装修,2024-01-31,NA
地铁口 东方花都A区 电梯三房 精装修 育才行知旁,新地东方花都A区,后湖,177,13277,3,2,133.32,东南,,精装,中,11,NA,塔楼,8,2个月,0,1,0,1,VR看装修,2024-01-31,NA
阳光佳苑 楼栋位置佳 118.83平 88万带车位 高层采光好,阳光佳苑,庙山,88,7406,3,2,118.83,南,,毛坯,高,33,NA,板楼,1,2个月,0,1,0,1,NA,2024-01-31,NA
大悦城豹子西公园旁，开发商精装修三房，满两年,绿地光谷中心城,光谷东,209,19837,3,2,105.36,南,,精装,中,44,NA,板楼,10,2个月,1,1,0,1,NA,2024-01-31,NA
沃尔玛边上小三房，朝南户型，楼层好，拎包入住,宝安璞园二期,南湖沃尔玛,142,16998,3,1,83.54,南,北,精装,中,24,NA,塔楼,9,2个月,0,0,1,1,NA,2024-01-31,NA
碧桂园凤凰湾 精装三房好楼层 视野开阔,碧桂园凤凰湾,汉南其它,55,5323,3,2,103.34,南,,精装,高,27,NA,板楼,0,2个月,1,1,0,1,NA,2024-01-31,NA
长江委小区，正规大三房 中间楼层闹中取静，适合居住,长江委协昌里小区,育才花桥,135,13277,3,1,101.68,西南,,精装,高,20,NA,塔楼,1,2个月,1,1,0,1,NA,2024-01-31,NA
武汉东站 天成美景 高楼层 满二 采光视野好 诚心卖,统建天成美景,光谷东,131,15034,2,2,87.14,南,,简装,高,33,NA,板楼,6,2个月,1,0,1,1,VR看装修,2024-01-31,NA
地铁口 满二四房 南北通透边户 保养好,碧桂园生态城左岸,光谷东,122,11176,4,2,109.17,南,北,简装,低,32,NA,板楼,3,2个月,0,1,0,1,NA,2024-01-31,NA
